Image URL, Title, Price
"https://m.media-amazon.com/images/I/A1cRqZVJddL._AC_UL320_.jpg", || ,"10Club Pure Brass Kalpavriksha Tree Showpiece (6.6 inches, 500 gram) Tree of Life - Home Decor - Gift for Good Luck Vastu and Fengshui - Best in Living Room Table Decoration with Antique Polish", || ,"₹1,599"
"https://m.media-amazon.com/images/I/81lagyE8XhL._AC_UL320_.jpg", || ,"amazon basics Artificial Plants with Pot| Dragon Grass| Lifelike Appearance | Durable Plastic | No Maintenance | Home Decor | Dimensions: 10 cm X 23 cm (Pack of 4)", || ,"₹539"
"https://m.media-amazon.com/images/I/91mL35Wd8DL._AC_UL320_.jpg", || ,"Encasa XO Window Curtain 9 ft Set of 2, Polyester Printed with Rod Pocket, Tie Back, Light-Filtering, Semi Sheer/Transparent Curtains- Kitchen, Bedroom, Living Room (140x274 cm), Blowball", || ,"₹958"
"https://m.media-amazon.com/images/I/818Z10ER35L._AC_UL320_.jpg", || ,"NACIA Sitting Pouffe Ottoman Stool for Living Room Stools Puffy Footrest Pouf FootStools with 4 Legs for Office Home Furniture Decor Foot Rest pouffes Foot Stool for Sofa, 16 Inces, Grey", || ,"₹1,589"
"https://m.media-amazon.com/images/I/51H2pAkicTL._AC_UL320_.jpg", || ,"Decazone ® Macramé Wall Hanging Shelf Pine Wood Floating Shelve with Wooden Dowel Modern Chic Woven Décor for Dorm Living Room Nursery Beige Colour 55 x 43cm", || ,"₹269"
"https://m.media-amazon.com/images/I/719UiPPxPlL._AC_UL320_.jpg", || ,"Artvibes Designer Elephant Wooden Wall Hanging for Home Decor | Hamsa Hand Decoration for Livingroom | Modern Artworks Items | Peace Charm Door Accent Decorative Hangings (WH_8506N)", || ,"₹199"
"https://m.media-amazon.com/images/I/71S9dg5+wbL._AC_UL320_.jpg", || ,"Global Grabbers New 25 Centimetre Meditating Sitting Buddha Statue showpiece Idol Home Decor Items for Living Room and Gifts (1, Orange Black)", || ,"₹379"
"https://m.media-amazon.com/images/I/810g8RazVJL._AC_UL320_.jpg", || ,"FRESH FROM LOOM 12 Feet Long Curtains Set of 2 Window Parda | Cotton Floral Room Darkening Curtains for Living Room Bedroom with Eyelets Ring Parde Screens (12ft, Leaf Aqua, 2pc)", || ,"₹1,470"
"https://m.media-amazon.com/images/I/810g8RazVJL._AC_UL320_.jpg", || ,"FRESH FROM LOOM 12 Feet Long Curtains Set of 2 Window Parda | Cotton Floral Room Darkening Curtains for Living Room Bedroom with Eyelets Ring Parde Screens (12ft, Leaf Aqua, 2pc)", || ,"₹1,470"
"https://m.media-amazon.com/images/I/311ucSIWsqL._AC_UL320_.jpg", || ,"SVH Bathroom Mat Water Absorbing Mat for Bathroom Quick Dry Rubber Backed Anti-Slip Floor Mat Non Slip Mat for Home, Kitchen (40 x 60 cm) (1)multi, Rectangular", || ,"₹269"
"https://m.media-amazon.com/images/I/914yQ9II8US._AC_UL320_.jpg", || ,"imra carpet Soft Modern Shag Area Rugs Fluffy Living Room Carpet Comfy Bedroom Home Decorate Floor Kids Playing Mat 3 Feet by 5 Feet, Beige, Rectangular", || ,"₹2,799"
"https://m.media-amazon.com/images/I/71T9sohI3+L._AC_UL320_.jpg", || ,"SPACES DRAPE STORY Premium Printed Blackout Curtain with Lining, Set of 2, 7Ft Door Curtains, Off White & Pink", || ,"₹3,029"
"https://m.media-amazon.com/images/I/715Yd3-ZbJL._AC_UL320_.jpg", || ,"Story@Home Blackout Long Door Curtains 9 Feet Set of 2 Room Darkening Plain Print Opaque Room Darkening Curtain for Living Rooms, Bedrooms, Halls, 116 x 275 cm, Black, 100% Opacity", || ,"₹1,349"
